"20 years and over, age adjusted",1999,2001,2003,2005,2007,2009,2011,2013,2015
All persons,6.6,7.4,7.7,7.9,8.1,8.4,9,9.7,10.1
Male,7.3,7.9,7,7.4,8.8,9,9.4,10.8,11.8
Female,5.9,6.9,8.2,8.2,7.4,7.8,8.7,8.8,8.7
Not Hispanic or Latino:,,,,,,,,,
White only,5.5,6.1,6.2,6.6,6.7,6.6,7.6,8.5,8.7
Black or African American only,9.2,11.7,13,13.2,13.2,13.3,13.4,14,13.4
Asian only,- - -,- - -,- - -,- - -,- - -,- - -,10.4,10.9,11.5
Hispanic or Latino,- - -,- - -,- - -,- - -,12.3,12.4,12.1,13.6,14.9
Mexican origin,10.8,12.7,12.9,12.6,13.4,13.9,13,13.9,16.5
