Category,All persons,Male,Female,White only,Black or African American only,Asian only,Hispanic or Latino,Mexican origin
1999,6.6,7.3,5.9,5.5,9.2,- - -, - - -,10.8
2001,7.4,7.9,6.9,6.1,11.7,- - -, - - -,12.7
2003,7.7,7.0,8.2,6.2,13,- - -, - - -,12.9
2005,7.9,7.4,8.2,6.6,13.2,- - -, - - -,12.6
2007,8.1,8.8,7.4,6.7,13.2,- - -,12.3,13.4
2009,8.4,9.0,7.8,6.6,13.3,- - -,12.4,13.9
2011,9.0,9.4,8.7,7.6,13.4,10.4,12.1,13.0
2013,9.7,10.8,8.8,8.5,14,10.9,13.6,13.9
2015,10.1,11.8,8.7,8.7,13.4,11.5,14.9,16.5
